,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
108,2013-09,bootstrap,https://github.com/twbs/bootstrap,1502,2011-07-29 21:19:00,JavaScript,58934.0
109,2013-09,togetherjs,https://github.com/mozilla/togetherjs,1485,2012-12-05 00:15:41,JavaScript,2624.0
110,2013-08,nprogress,https://github.com/rstacruz/nprogress,3816,2013-08-20 13:58:02,JavaScript,4470.0
111,2013-08,bootstrap,https://github.com/twbs/bootstrap,3102,,,
112,2013-08,ungit,https://github.com/FredrikNoren/ungit,2964,2013-05-19 10:44:44,JavaScript,3341.0
113,2013-08,skeuocard,https://github.com/kenkeiter/skeuocard,2272,2013-07-29 17:39:56,CoffeeScript,2621.0
114,2013-08,parallax,https://github.com/wagerfield/parallax,2212,2013-08-01 15:28:05,JavaScript,2443.0
115,2013-08,gumbo-parser,https://github.com/google/gumbo-parser,2127,2013-08-02 18:33:38,C,2443.0
116,2013-08,Medium.js,https://github.com/jakiestfu/Medium.js,1847,2013-07-30 22:09:47,JavaScript,1982.0
117,2013-08,Mailpile,https://github.com/pagekite/Mailpile,1806,2011-10-30 23:45:22,Python,1906.0
118,2013-08,FlowType.JS,https://github.com/simplefocus/FlowType.JS,1685,2013-08-13 21:10:16,JavaScript,1760.0
119,2013-08,maximum-awesome,https://github.com/square/maximum-awesome,1513,2013-06-18 00:14:21,VimL,1793.0
120,2013-07,Effeckt.css,https://github.com/h5bp/Effeckt.css,4740,,,
121,2013-07,bootstrap,https://github.com/twitter/bootstrap,2637,,,
122,2013-07,quine-relay,https://github.com/mame/quine-relay,2240,2013-07-15 13:29:20,Ruby,2649.0
123,2013-07,daux.io,https://github.com/justinwalsh/daux.io,2000,2013-06-03 12:42:18,PHP,2114.0
124,2013-07,Projects,https://github.com/thekarangoel/Projects,1921,,,
125,2013-07,finalterm,https://github.com/p-e-w/finalterm,1814,2013-04-16 17:09:52,Vala,2412.0
126,2013-07,ProjectTox-Core,https://github.com/irungentoo/ProjectTox-Core,1785,2013-06-24 00:12:13,C,1972.0
127,2013-07,groupcache,https://github.com/golang/groupcache,1630,2013-07-22 21:55:07,Go,1822.0
128,2013-07,VerbalExpressions,https://github.com/jehna/VerbalExpressions,1550,2013-07-19 14:59:46,JavaScript,1637.0
129,2013-07,ideas,https://github.com/samsquire/ideas,1499,2013-01-19 19:59:09,null,1704.0
130,2013-06,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,4136,2013-06-22 13:23:55,null,4827.0
131,2013-06,Ladda,https://github.com/hakimel/Ladda,3151,2013-06-05 08:30:13,JavaScript,3338.0
132,2013-06,AngularJS-Learning,https://github.com/jmcunningham/AngularJS-Learning,2554,2013-06-06 20:48:17,null,2805.0
133,2013-06,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2094,2013-01-14 15:46:28,Python,3254.0
134,2013-06,code-problems,https://github.com/blakeembrey/code-problems,2041,2013-05-22 19:19:29,JavaScript,2126.0
135,2013-06,pure,https://github.com/yui/pure,1992,2013-04-22 16:16:39,JavaScript,4231.0
136,2013-06,bootstrap,https://github.com/twitter/bootstrap,1620,2011-07-29 21:19:00,JavaScript,52333.0
137,2013-06,Seriously.js,https://github.com/brianchirls/Seriously.js,1413,2011-09-10 16:50:41,JavaScript,2140.0
138,2013-06,skrollr,https://github.com/Prinzhorn/skrollr,1410,2012-03-18 15:41:35,JavaScript,4388.0
139,2013-06,dokku,https://github.com/progrium/dokku,1170,2013-06-08 10:26:57,Shell,1267.0
140,2013-05,Magnific-Popup,https://github.com/dimsemenov/Magnific-Popup,2035,2013-01-10 16:09:24,JavaScript,2219.0
141,2013-05,pure,https://github.com/yui/pure,1947,2013-04-22 16:16:39,JavaScript,2238.0
142,2013-05,bootstrap,https://github.com/twitter/bootstrap,1823,2011-07-29 21:19:00,JavaScript,50924.0
143,2013-05,FlatUIKit,https://github.com/Grouper/FlatUIKit,1740,2013-05-08 21:56:44,Objective-C,1892.0
